tree_idx,n_tips,true_R0,true_d,true_lambda,mle_R0,mle_d,mle_lambda
0,285,1.43571,3.57143,5.1275377653,2.0,4.0372114510774315,8.074422902154863
1,320,2.39145,3.28947,7.8666030314999995,2.0,5.0,10.0
10,463,2.79359,3.55872,9.9416046048,2.0,5.0,10.0
100,102,1.08429,1.42857,1.5489841652999998,1.1994596270386277,0.5855981294994712,0.7024013140039538
1000,378,1.37956,2.43309,3.3565936404,2.0,5.0,10.0
1001,486,1.50753,2.15054,3.2420035661999997,2.0,5.0,10.0
1002,159,1.34688,3.125,4.2090000000000005,2.0,2.5067388945483917,5.013477789096783
1003,203,1.41021,1.89036,2.6658045756,2.0,4.348653590376142,8.697307180752285
1004,353,1.07599,1.72712,1.8583638488,1.0687610224101873,0.8997303386508079,0.9615967166299014
1005,300,1.13636,3.78788,4.3043953168,1.079056576429724,0.3791022773968857,0.40907280556459497
1006,445,1.30345,2.29885,2.9964360324999997,2.0,5.0,10.0
1007,109,1.02564,2.5641,2.629843524,1.1801332760543013,0.2559406047564618,0.30204402436656236
1008,240,1.4043,2.15054,3.020003322,2.0,5.0,10.0
1009,237,1.35829,1.78253,2.4211926737,2.0,5.063874859287738,10.127749718575476
101,476,1.18735,2.34192,2.780678712,2.0,4.896735562432977,9.793471124865954
1010,457,1.71233,2.73973,4.6913218709,2.0,5.0,10.0
1011,284,1.5134,2.06186,3.120418924,2.0,5.0,10.0
1012,482,2.54789,3.83142,9.762036703800002,2.0,5.0,10.0
1013,467,1.21503,1.74825,2.1241761975,2.0,5.0,10.0
1014,484,1.81651,3.0581,5.555069231,2.0,5.0,10.0
1015,170,1.63222,3.03951,4.9611490122,2.0,4.7747500432395755,9.549500086479151
1016,150,1.6123,2.6738,4.31096774,2.0,4.528917764919664,9.057835529839329
1017,213,2.3403,2.98507,6.985959321,2.0,5.0,10.0
1018,340,2.79821,4.4843,12.548013103,2.0,5.0,10.0
1019,462,1.2782,1.8797,2.40263254,2.0,5.0,10.0
102,415,1.38263,2.34742,3.2456133146000004,2.0,5.0,10.0
1020,404,1.08527,1.93798,2.1032315545999998,1.0612393693987572,0.7689286392305607,0.8160173442096846
1021,461,1.96848,2.86533,5.6403447984,2.0,5.0,10.0
1022,393,3.32512,4.92611,16.3799068832,2.0,5.0,10.0
1023,287,1.61098,2.38663,3.8448131973999997,2.0,5.0,10.0
1024,382,1.05128,2.331,2.45053368,1.0642558603862693,0.7177448200212555,0.7638641309695093
1025,407,2.20578,3.61011,7.9631084358,2.0,5.0,10.0
1026,332,2.20308,3.07692,6.7787009136,2.0,5.0,10.0
1027,254,1.38863,2.36967,3.2905948521000004,2.0,4.889066240087552,9.778132480175104
1028,454,1.45854,4.87805,7.114831047,2.0,4.325784240195378,8.651568480390756
1029,219,3.50885,4.42478,15.525889303,2.0,5.0,10.0
103,309,1.43777,4.29185,6.1706931745,2.0,3.3762499500118333,6.7524999000236665
1030,320,1.45161,2.30415,3.3447271815,2.0,4.6004950247659036,9.200990049531807
1031,102,1.22793,1.60514,1.9709995602,1.1994596270386277,0.49706003003717497,0.596203438244199
1032,114,1.18339,3.46021,4.0947779119,1.1812420186739745,0.3443937873481635,0.40681241258592016
1033,130,1.02709,2.25734,2.3184913406,1.0806350733955,0.28731564093360906,0.31048335872796573
1034,390,3.71498,4.83092,17.9467711816,2.0,5.0,10.0
1035,349,2.47826,3.95257,9.795496128200002,2.0,5.0,10.0
1036,355,1.26096,1.99203,2.5118701488,2.0,5.0,10.0
1037,386,1.10387,1.76056,1.9434293671999998,1.0636837555976477,0.5738625081437947,0.6104082278590772
1038,249,2.89219,3.71747,10.7516295593,2.0,5.0,10.0
1039,460,1.73389,2.80112,4.8568339568,2.0,5.0,10.0
104,448,1.01405,1.27714,1.2950838169999999,2.0,5.817816682020608,11.635633364041215
1040,120,1.88753,2.44499,4.6149919747000006,2.0,4.459088898325576,8.918177796651152
1041,151,1.36229,2.11864,2.8862020856,2.0,4.871071448617939,9.742142897235878
1042,492,1.52546,2.31481,3.5311500626,2.0,5.0,10.0
1043,237,1.58929,4.46429,7.095051454100001,2.0,3.7938968270088056,7.587793654017611
1044,296,1.09848,2.52525,2.77393662,1.079971524522229,0.6282017509340917,0.6784400026638245
1045,343,2.43312,3.18471,7.7487815952000005,2.0,5.0,10.0
1046,135,2.312,4.0,9.248,2.0,5.0,10.0
1047,249,1.0992,1.6,1.75872,2.0,4.4748499013587635,8.949699802717527
1048,459,2.39171,4.60829,11.021693275899999,2.0,5.0,10.0
1049,288,1.11709,3.16456,3.5350983303999994,1.0818719339345526,0.600514967232834,0.6496802889568307
105,119,1.06873,1.34771,1.4403381083,1.1597750113830736,0.49728037489353494,0.5767333524527286
1050,466,3.13389,4.1841,13.112509149,2.0,5.0,10.0
1051,318,1.17844,3.71747,4.3808153467999995,1.0752039744041926,0.35373736991726146,0.38033982603032557
1052,396,1.8674,2.76243,5.1585617820000005,2.0,5.0,10.0
1053,359,1.91667,2.87356,5.5076662452,2.0,5.0,10.0
1054,462,1.10396,1.65017,1.8217216732,2.0,5.0,10.0
1055,302,3.1,4.34783,13.478273000000002,2.0,5.0,10.0
1056,424,1.38717,2.3753,3.2949449010000005,2.0,5.0,10.0
1057,432,1.17463,1.83824,2.1592518512,2.0,4.370165903556121,8.740331807112241
1058,131,1.38279,2.96736,4.1032357344,1.160831775377205,0.5326594416941113,0.6183280053732061
1059,112,1.06364,2.27273,2.4173665372,1.184023430182074,0.4893716263352169,0.5794274716472038
106,413,2.78596,3.50877,9.775292869200001,2.0,5.0,10.0
1060,296,1.27517,2.23714,2.8527338138,2.0,5.0,10.0
1061,365,2.0089,2.96736,5.9611295040000005,2.0,5.0,10.0
1062,363,1.25869,3.861,4.8598020900000005,2.0,2.666465141646447,5.332930283292894
1063,469,2.57203,4.23729,10.8984369987,2.0,5.0,10.0
1064,188,1.02346,2.93255,3.001347623,2.0,2.810682808533653,5.621365617067306
1065,433,1.10581,2.07469,2.2942129489,2.0,3.8654765248316196,7.730953049663239
1066,487,1.13306,2.079,2.35563174,2.0,5.0,10.0
1067,467,1.19255,2.07039,2.4690435945,2.0,5.0,10.0
1068,223,1.17944,2.01613,2.3779043672,1.1019328424313894,0.8155452065427542,0.8986760475769517
1069,309,1.00641,1.60256,1.6128324096,2.0,3.8304049127479245,7.660809825495849
107,255,1.94094,3.93701,7.6415001894,2.0,5.0,10.0
1070,493,1.27814,1.60772,2.0548912408,2.0,5.332456839339103,10.664913678678205
1071,451,1.56553,2.42718,3.7998231054000002,2.0,5.0,10.0
1072,147,1.67556,2.22222,3.7234629432,2.0,5.0,10.0
1073,323,1.59633,3.0581,4.881736773,2.0,5.0,10.0
1074,304,1.48485,2.75482,4.090494477,2.0,4.625036598644876,9.250073197289751
1075,474,1.6918,3.27869,5.546887742,2.0,5.0,10.0
1076,156,1.36137,3.11526,4.2410215062,2.0,3.186953950680907,6.373907901361814
1077,339,1.53333,2.15054,3.2974874982,2.0,5.0,10.0
1078,137,1.04078,1.63132,1.6978452296000002,1.154765003140012,0.535182370704834,0.6180098719874467
1079,182,1.32462,2.17865,2.885883363,2.0,3.4223855606920597,6.844771121384119
108,353,2.37846,3.07692,7.3183311432,2.0,5.0,10.0
1080,414,2.4087,4.34783,10.472618121,2.0,5.0,10.0
1081,333,2.37544,3.50877,8.334872608800001,2.0,5.0,10.0
1082,118,1.0872,1.85529,2.017071288,1.1217922442187565,0.34970320150509326,0.3922943392268826
1083,328,1.15081,1.79533,2.0660837173,2.0,3.9994659932515426,7.998931986503085
1084,196,1.47452,3.18471,4.6959185892,2.0,4.548138495643787,9.096276991287574
1085,222,1.27592,1.5949,2.034964808,2.0,5.3926213395173335,10.785242679034667
1086,123,1.66207,2.29885,3.8208496194999997,2.0,5.0,10.0
1087,433,1.63057,3.18471,5.1928925847,2.0,5.0,10.0
1088,192,2.625,3.37838,8.868247499999999,2.0,5.0,10.0
1089,101,1.03161,1.66389,1.7164855629,1.1391613706105748,0.3891166732093033,0.44326668278053705
109,162,1.60652,2.17391,3.4924298931999997,2.0,5.0,10.0
1090,384,3.57534,4.56621,16.3257532614,2.0,5.0,10.0
1091,221,1.00668,1.3369,1.345830492,2.0,4.485895945303799,8.971791890607598
1092,289,2.16791,3.73134,8.0892092994,2.0,5.0,10.0
1093,292,1.66262,2.42718,4.0354780115999995,2.0,5.0,10.0
1094,182,1.29593,1.62602,2.1072080986,2.0,5.350374655690187,10.700749311380374
1095,430,1.43487,1.91571,2.7487948077000004,2.0,5.0,10.0
1096,345,1.22151,2.15054,2.6269061154,2.0,5.0,10.0
1097,421,1.17391,3.10559,3.6456831568999997,2.0,4.553764551184157,9.107529102368314
1098,230,1.23765,3.08642,3.8199077129999996,2.0,2.848273882114649,5.696547764229298
